value_id,time_id,location_id
0,0,4323
1,0,4287
2,0,4258
3,0,4312
4,0,4314
5,0,4328
6,0,3295
7,0,4285
8,0,3223
9,0,2162414
10,0,4318
11,0,4317
12,0,4329
13,0,4249
14,0,4275
15,0,4264
16,0,4274
17,0,4296
18,0,4342
19,0,4327
20,0,2162441
21,0,4320
22,1,2826460
23,2,2826464
24,3,3265
25,4,2977853
26,0,4767
27,0,2162181
28,0,4761
29,0,3019
30,0,4765
31,0,4764
32,0,3026
33,0,2162180
34,0,2162178
35,0,4762
36,0,2993
37,5,3025
38,6,1775988
39,7,3021
40,8,1235983
41,8,2453309
42,8,2453319
43,8,2946434
44,8,2453312
45,8,2946436
46,8,2984093
47,8,2946433
48,8,2453304
49,8,150
50,8,149
51,8,155
52,8,152
53,8,159
54,8,148
55,8,154
56,8,146
57,8,151
58,9,225766
59,9,225791
60,10,225793
61,9,225801
62,9,225715
63,9,225807
64,9,225719
65,9,270693
66,11,225805
67,9,225851
68,12,225767
69,13,225794
70,9,225782
71,9,225787
72,9,230827
73,9,225803
74,9,225723
75,14,225765
76,9,225802
77,9,225806
78,9,225771
79,9,225713
80,9,225848
81,15,225786
82,16,225710
83,9,225839
84,17,290183
85,9,225850
86,18,225744
87,19,225777
88,20,1462792
89,21,225852
90,22,2862784
91,23,927171
92,24,225808
93,24,225812
94,25,225833
95,26,225846
96,27,225811
97,28,225783
98,29,225756
99,30,304892
100,31,225731
101,32,225743
102,33,225735
103,34,225737
104,35,225835
105,36,225838
106,37,225718
107,38,225741
108,39,270694
109,39,225842
110,40,225721
111,41,310238
112,41,310232
113,42,287453
114,43,223692
115,43,223772
116,43,223751
117,43,223704
118,43,223746
119,43,223740
120,43,223718
121,43,223771
122,43,223750
123,43,223698
124,43,223754
125,43,223788
126,43,223795
127,43,223797
128,43,223744
129,43,223707
130,43,223730
131,43,223737
132,43,223710
133,43,223741
134,43,223763
135,43,223687
136,43,223796
137,43,223768
138,43,223727
139,43,223713
140,44,7558
141,45,7560
142,44,7527
143,45,7561
144,45,7564
145,45,7545
146,44,7529
147,45,2162870
148,46,1235983
149,46,2453309
150,46,2453319
151,46,2946434
152,46,2453312
153,46,2946436
154,46,2984093
155,46,2946433
156,46,2453304
157,46,150
158,46,149
159,46,155
160,46,152
161,46,159
162,46,148
163,46,154
164,46,146
165,46,151
166,47,7558
167,45,7560
168,47,7527
169,45,7564
170,45,7545
171,47,7529
172,48,2162866
173,45,8551
174,47,7534
175,45,7530
176,47,7540
177,49,8334
178,50,8428
179,50,8535
180,51,8019
181,0,9287
182,0,4588
183,0,2975
184,0,2998
185,0,4593
