value id,time id,location id
0,0,4323
1,0,4287
2,0,4258
3,0,4312
4,0,4314
5,0,4328
6,0,3295
7,0,4285
8,0,3223
9,0,2162414
10,0,4318
11,0,4317
12,0,4329
13,0,4249
14,0,4275
15,0,4264
16,0,4274
17,0,4296
18,0,4342
19,0,4327
20,0,2162441
21,0,4320
22,1,2826460
23,2,2826464
24,3,3265
25,4,2977853
26,0,4767
27,0,2162181
28,0,4761
29,0,3019
30,0,4765
31,0,4764
32,0,3026
33,0,2162180
34,0,2162178
35,0,4762
36,0,2993
37,5,3025
38,6,1775988
39,7,3021
40,4,1235983
41,4,2453309
42,4,2453319
43,4,2946434
44,4,2453312
45,4,2946436
46,4,2984093
47,4,2946433
48,4,2453304
49,4,150
50,4,149
51,4,155
52,4,152
53,4,159
54,4,148
55,4,154
56,4,146
57,4,151
58,8,225766
59,8,225791
60,8,225793
61,8,225801
62,8,225715
63,8,225807
64,8,225719
65,8,270693
66,8,225805
67,8,225851
68,8,225767
69,8,225794
70,8,225782
71,8,225787
72,8,230827
73,8,225803
74,8,225723
75,8,225765
76,8,225802
77,8,225806
78,8,225771
79,8,225713
80,9,225848
81,9,225786
82,9,225710
83,10,225839
84,10,290183
85,11,225850
86,12,225744
87,13,225777
88,14,1462792
89,15,225852
90,16,2862784
91,17,927171
92,18,225808
93,18,225812
94,19,225833
95,20,225846
96,21,225811
97,22,225783
98,23,225756
99,24,304892
100,25,225731
101,26,225743
102,27,225735
103,28,225737
104,29,225835
105,30,225838
106,31,225718
107,32,225741
108,33,270694
109,33,225842
110,34,225721
111,35,310238
112,35,310232
113,36,287453
114,37,223692
115,37,223772
116,37,223751
117,37,223704
118,37,223746
119,37,223740
120,37,223718
121,37,223771
122,37,223750
123,37,223698
124,37,223754
125,37,223788
126,37,223795
127,37,223797
128,37,223744
129,37,223707
130,37,223730
131,37,223737
132,37,223710
133,37,223741
134,37,223763
135,37,223687
136,37,223796
137,37,223768
138,37,223727
139,37,223713
140,38,7558
141,39,7560
142,39,7527
143,39,7561
144,39,7564
145,39,7545
146,39,7529
147,39,2162870
148,40,2162866
149,39,8551
150,40,7534
151,39,7530
152,40,7540
153,41,8334
154,42,8428
155,42,8535
156,43,8019
157,0,9287
158,0,4588
159,0,2975
160,0,2998
161,0,4593
